Id,Painting_title,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Total_colors
160,Evening at Sunset,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
161,Mountain View,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
162,Hidden Creek,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,10
163,Peaceful Haven,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
164,Mountain Exhibition,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,10
165,Emerald Waters,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,9
166,Mountain Summit,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
167,Cabin Hideaway,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,10
168,Oval Essence,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,8
169,Lost Lake,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
170,Distant Mountains,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
171,Meadow Brook Surprise,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
172,Mountain Moonlight Oval,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
173,Snowy Solitude,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,7
174,Mountain River,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
175,Graceful Mountains,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
176,Windy Waves,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,14
177,On a Clear Day,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,11
178,Riverside Escape Oval,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
179,Surprising Falls,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
180,Shadow Pond,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,13
181,Misty Forest Oval,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
182,Natural Wonder,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,11
183,Splendor of Winter,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,10
184,Colors of Nature,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
185,Grandpa's Barn,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,11
186,Peaceful Reflections,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
187,Hidden Winter Moon Oval,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,8
188,Waves of Wonder,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,12
189,Cabin by the Pond,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
190,Fall Stream,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
191,Christmas Eve Snow,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,9
192,Forest Down Oval,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
193,Pathway to Autumn,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
